"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","freq","duration","condition","adjective","trial_num","is_correct","responses","completion_code","resp_age","resp_gender","resp_music","resp_expt","resp_experience","resp_problems","resp_final","resp_attention"
"true","fullscreen","0","2375","0.0-0.0","1470","920","","","","","","","","","","","","","","","","","","","","",""
"","image-keyboard-response","1","16136","0.0-1.0","","","13754.799999952316","images/consent.jpg","89","_","consent","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","2","21659","0.0-2.0","","","508.59999990463257","<p>Hi! Thank you for volunteering to help out with our study.  You will need headphones for this experiment. Please take a moment to adjust your seating so that you can comfortably watch the monitor and use the keyboard.</p><p>Close the door or do whatever is necessary to minimize disturbance during the experiment.  Please also take a moment to silence your phone so that you are not interrupted by any messages mid-experiment.</p><p>Throughout this experiment, you will see greyed out text as in the last line below.</p><p>And a quick note: This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.","32","_","instruct_prompt","","","","","","","","","","","","","","","",""
"","jo-adjust-volume","3","29566","0.0-3.0","","","5884","images/FULLBEAT.mp3","82","","","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","4","31045","0.0-4.0","","","470.7000000476837","<div style='margin: auto 0'><p>In the main experiment, you will hear a sound like this.</div>","32","_","instruct_prompt","","","","","","","","","","","","","","","",""
"","jo-play-tone","5","32316","0.0-5.0","","","","","","_","key_trial","440","250","demo","","","","","","","","","","","","",""
"","jo-html-keyboard-response","6","61396","0.0-6.0","","","28069.599999904633","<div style='margin: auto 0'><p>In a trial, you will then read a sentence describing a subjective opinion about these sounds.<br>Your task is to say whether you agree with this opinion.</div>","32","_","instruct_prompt","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","7","64530","0.0-7.0","","","2127.5","<div style='margin: auto 0'><p>Then an additional question will follow.<br>This additional question will be a <b>memory</b> question, so try to pay attention to the sounds as best as you can.</div>","32","_","instruct_prompt","","","","","","","","","","","","","","","",""
"","jo-html-keyboard-response","8","71342","0.0-8.0","","","5803.400000095367","<div style='margin: auto 0'><p>The questions you will see will always be a yes or no question.  To indicate your response, you must press the <b>A KEY</b> for YES, and the <b>L KEY</b> for NO.<p>You will only be given 5 seconds to answer the questions -- so please try to respond as fast as you can.<br>Place your fingers on A (for yes) and L (for no) to prepare.</div>","65","_","instruct_prompt","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","73347","0.0-9.0","","","null","<div><span style=""font-size:2vw"">Every sound is annoying.</div>","null","_","fixation","","","","annoying","","","","","","","","","","","",""
"","jo-play-tone","10","74610","0.0-10.0","","","","","","_","key_trial","277.18","250","avg","","","","","","","","","","","","",""
"","jo-play-tone","11","75869","0.0-11.0","","","","","","_","key_trial","415.3","250","avg","","","","","","","","","","","","",""
"","jo-play-tone","12","77127","0.0-12.0","","","","","","_","key_trial","622.25","250","avg","","","","","","","","","","","","",""
"","html-keyboard-response","13","78000","0.0-13.0","","","871.3000001907349","<span style='font-size:2vw'>Every sound was annoying.<br><br>Do you agree?<br><br>A=YES, L=NO","76","_","resp_trial","","","","annoying","0","","","","","","","","","","",""
"","html-keyboard-response","14","78506","0.0-14.0","","","null","<div style=""font-size:60px;""></div>","null","_","blank","","","","","","","","","","","","","","","",""
"","html-keyboard-response","15","81517","0.0-15.0","","","null","<div><span style=""font-size:2vw"">Memory test:<br>Did you just hear this sound?<p>Get ready...</div>","null","_","fixation","","","","","","","","","","","","","","","",""
"","jo-play-tone","16","82778","0.0-16.0","","","","","","_","key_trial","438.24333333333334","250","avg","","","","","","","","","","","","",""
"","html-keyboard-response","17","83552","0.0-17.0","","","771.5999999046326","<span style='font-size:2vw'>Did you just hear this sound?<br><br>A=YES, L=NO","76","_","resp_trial","438.24333333333334","","avg","","0","true","","","","","","","","","",""
"","html-keyboard-response","18","84058","0.0-18.0","","","null","<div style=""font-size:60px;""></div>","null","_","blank","","","","","","","","","","","","","","","",""
"","html-keyboard-response","19","86066","0.0-19.0","","","null","<div><span style=""font-size:2vw"">Every sound is odd.</div>","null","_","fixation","","","","odd","","","","","","","","","","","",""
"","jo-play-tone","20","87325","0.0-20.0","","","","","","_","key_trial","4434.92","250","right","","","","","","","","","","","","",""
"","jo-play-tone","21","88586","0.0-21.0","","","","","","_","key_trial","2959.96","250","right","","","","","","","","","","","","",""
"","jo-play-tone","22","89850","0.0-22.0","","","","","","_","key_trial","1975.53","250","right","","","","","","","","","","","","",""
"","html-keyboard-response","23","90230","0.0-23.0","","","377.59999990463257","<span style='font-size:2vw'>Every sound was odd.<br><br>Do you agree?<br><br>A=YES, L=NO","65","_","resp_trial","","","","odd","1","","","","","","","","","","",""
"","html-keyboard-response","24","90738","0.0-24.0","","","null","<div style=""font-size:60px;""></div>","null","_","blank","","","","","","","","","","","","","","","",""
"","html-keyboard-response","25","93746","0.0-25.0","","","null","<div><span style=""font-size:2vw"">Memory test:<br>Did you just hear this sound?<p>Get ready...</div>","null","_","fixation","","","","","","","","","","","","","","","",""
"","jo-play-tone","26","95029","0.0-26.0","","","","","","_","key_trial","1975.53","250","right","","","","","","","","","","","","",""
"","html-keyboard-response","27","95420","0.0-27.0","","","387.90000009536743","<span style='font-size:2vw'>Did you just hear this sound?<br><br>A=YES, L=NO","65","_","resp_trial","1975.53","","right","","1","true","","","","","","","","","",""
"","html-keyboard-response","28","95930","0.0-28.0","","","null","<div style=""font-size:60px;""></div>","null","_","blank","","","","","","","","","","","","","","","",""
"","html-keyboard-response","29","97940","0.0-29.0","","","null","<div><span style=""font-size:2vw"">Every sound is annoying.</div>","null","_","fixation","","","","annoying","","","","","","","","","","","",""
"","jo-play-tone","30","99206","0.0-30.0","","","","","","_","key_trial","554.37","250","wrong","","","","","","","","","","","","",""
"","jo-play-tone","31","100474","0.0-31.0","","","","","","_","key_trial","830.61","250","wrong","","","","","","","","","","","","",""
"","jo-play-tone","32","101742","0.0-32.0","","","","","","_","key_trial","1244.51","250","wrong","","","","","","","","","","","","",""
"","html-keyboard-response","33","102962","0.0-33.0","","","1217.3000001907349","<span style='font-size:2vw'>Every sound was annoying.<br><br>Do you agree?<br><br>A=YES, L=NO","76","_","resp_trial","","","","annoying","2","","","","","","","","","","",""
"","html-keyboard-response","34","103466","0.0-34.0","","","null","<div style=""font-size:60px;""></div>","null","_","blank","","","","","","","","","","","","","","","",""
"","html-keyboard-response","35","106474","0.0-35.0","","","null","<div><span style=""font-size:2vw"">Memory test:<br>Did you just hear this sound?<p>Get ready...</div>","null","_","fixation","","","","","","","","","","","","","","","",""
"","jo-play-tone","36","107735","0.0-36.0","","","","","","_","key_trial","415.3","250","wrong","","","","","","","","","","","","",""
"","html-keyboard-response","37","108515","0.0-37.0","","","779","<span style='font-size:2vw'>Did you just hear this sound?<br><br>A=YES, L=NO","65","_","resp_trial","415.3","","wrong","","2","false","","","","","","","","","",""
"","html-keyboard-response","38","109026","0.0-38.0","","","null","<div style=""font-size:60px;""></div>","null","_","blank","","","","","","","","","","","","","","","",""
"","html-keyboard-response","39","111037","0.0-39.0","","","null","<div><span style=""font-size:2vw"">Every sound is creepy.</div>","null","_","fixation","","","","creepy","","","","","","","","","","","",""
"","jo-play-tone","40","112298","0.0-40.0","","","","","","_","key_trial","698.46","250","avg","","","","","","","","","","","","",""
"","jo-play-tone","41","113562","0.0-41.0","","","","","","_","key_trial","311.13","250","avg","","","","","","","","","","","","",""
"","jo-play-tone","42","114818","0.0-42.0","","","","","","_","key_trial","466.16","250","avg","","","","","","","","","","","","",""
"","html-keyboard-response","43","116892","0.0-43.0","","","2072.2999999523163","<span style='font-size:2vw'>Every sound was creepy.<br><br>Do you agree?<br><br>A=YES, L=NO","65","_","resp_trial","","","","creepy","3","","","","","","","","","","",""
"","html-keyboard-response","44","117406","0.0-44.0","","","null","<div style=""font-size:60px;""></div>","null","_","blank","","","","","","","","","","","","","","","",""
"","html-keyboard-response","45","120413","0.0-45.0","","","null","<div><span style=""font-size:2vw"">Memory test:<br>Did you just hear this sound?<p>Get ready...</div>","null","_","fixation","","","","","","","","","","","","","","","",""
"","jo-play-tone","46","121674","0.0-46.0","","","","","","_","key_trial","491.9166666666667","250","avg","","","","","","","","","","","","",""
"","html-keyboard-response","47","122811","0.0-47.0","","","1134.9000000953674","<span style='font-size:2vw'>Did you just hear this sound?<br><br>A=YES, L=NO","76","_","resp_trial","491.9166666666667","","avg","","3","true","","","","","","","","","",""
"","html-keyboard-response","48","123325","0.0-48.0","","","null","<div style=""font-size:60px;""></div>","null","_","blank","","","","","","","","","","","","","","","",""
"","html-keyboard-response","49","125332","0.0-49.0","","","null","<div><span style=""font-size:2vw"">Every sound is positive.</div>","null","_","fixation","","","","positive","","","","","","","","","","","",""
"","jo-play-tone","50","126594","0.0-50.0","","","","","","_","key_trial","2637.02","250","avg","","","","","","","","","","","","",""
"","jo-play-tone","51","127858","0.0-51.0","","","","","","_","key_trial","1174.66","250","avg","","","","","","","","","","","","",""
"","jo-play-tone","52","129118","0.0-52.0","","","","","","_","key_trial","1760","250","avg","","","","","","","","","","","","",""
"","html-keyboard-response","53","129482","0.0-53.0","","","362.7999999523163","<span style='font-size:2vw'>Every sound was positive.<br><br>Do you agree?<br><br>A=YES, L=NO","65","_","resp_trial","","","","positive","4","","","","","","","","","","",""
"","html-keyboard-response","54","129986","0.0-54.0","","","null","<div style=""font-size:60px;""></div>","null","_","blank","","","","","","","","","","","","","","","",""
"","html-keyboard-response","55","132997","0.0-55.0","","","null","<div><span style=""font-size:2vw"">Memory test:<br>Did you just hear this sound?<p>Get ready...</div>","null","_","fixation","","","","","","","","","","","","","","","",""
"","jo-play-tone","56","134258","0.0-56.0","","","","","","_","key_trial","1857.2266666666667","250","avg","","","","","","","","","","","","",""
"","html-keyboard-response","57","134546","0.0-57.0","","","285.59999990463257","<span style='font-size:2vw'>Did you just hear this sound?<br><br>A=YES, L=NO","65","_","resp_trial","1857.2266666666667","","avg","","4","false","","","","","","","","","",""
"","html-keyboard-response","58","135054","0.0-58.0","","","null","<div style=""font-size:60px;""></div>","null","_","blank","","","","","","","","","","","","","","","",""
"","html-keyboard-response","59","137058","0.0-59.0","","","null","<div><span style=""font-size:2vw"">Every sound is pleasant.</div>","null","_","fixation","","","","pleasant","","","","","","","","","","","",""
"","jo-play-tone","60","138324","0.0-60.0","","","","","","_","key_trial","98","250","right","","","","","","","","","","","","",""
"","jo-play-tone","61","139587","0.0-61.0","","","","","","_","key_trial","65.41","250","right","","","","","","","","","","","","",""
"","jo-play-tone","62","140844","0.0-62.0","","","","","","_","key_trial","146.83","250","right","","","","","","","","","","","","",""
"","html-keyboard-response","63","141604","0.0-63.0","","","759.2999999523163","<span style='font-size:2vw'>Every sound was pleasant.<br><br>Do you agree?<br><br>A=YES, L=NO","65","_","resp_trial","","","","pleasant","5","","","","","","","","","","",""
"","html-keyboard-response","64","142114","0.0-64.0","","","null","<div style=""font-size:60px;""></div>","null","_","blank","","","","","","","","","","","","","","","",""
"","html-keyboard-response","65","145122","0.0-65.0","","","null","<div><span style=""font-size:2vw"">Memory test:<br>Did you just hear this sound?<p>Get ready...</div>","null","_","fixation","","","","","","","","","","","","","","","",""
"","jo-play-tone","66","146386","0.0-66.0","","","","","","_","key_trial","65.41","250","right","","","","","","","","","","","","",""
"","html-keyboard-response","67","147045","0.0-67.0","","","656.8999998569489","<span style='font-size:2vw'>Did you just hear this sound?<br><br>A=YES, L=NO","65","_","resp_trial","65.41","","right","","5","true","","","","","","","","","",""
"","html-keyboard-response","68","147554","0.0-68.0","","","null","<div style=""font-size:60px;""></div>","null","_","blank","","","","","","","","","","","","","","","",""
"","html-keyboard-response","69","149562","0.0-69.0","","","null","<div><span style=""font-size:2vw"">Every sound is positive.</div>","null","_","fixation","","","","positive","","","","","","","","","","","",""
"","jo-play-tone","70","150820","0.0-70.0","","","","","","_","key_trial","2637.02","250","wrong","","","","","","","","","","","","",""
"","jo-play-tone","71","152082","0.0-71.0","","","","","","_","key_trial","3951.07","250","wrong","","","","","","","","","","","","",""
"","jo-play-tone","72","153346","0.0-72.0","","","","","","_","key_trial","5919.91","250","wrong","","","","","","","","","","","","",""
"","html-keyboard-response","73","153803","0.0-73.0","","","456.2999999523163","<span style='font-size:2vw'>Every sound was positive.<br><br>Do you agree?<br><br>A=YES, L=NO","76","_","resp_trial","","","","positive","6","","","","","","","","","","",""
"","html-keyboard-response","74","154306","0.0-74.0","","","null","<div style=""font-size:60px;""></div>","null","_","blank","","","","","","","","","","","","","","","",""
"","html-keyboard-response","75","157314","0.0-75.0","","","null","<div><span style=""font-size:2vw"">Memory test:<br>Did you just hear this sound?<p>Get ready...</div>","null","_","fixation","","","","","","","","","","","","","","","",""
"","jo-play-tone","76","158578","0.0-76.0","","","","","","_","key_trial","1975.53","250","wrong","","","","","","","","","","","","",""
"","html-keyboard-response","77","158933","0.0-77.0","","","353.2999999523163","<span style='font-size:2vw'>Did you just hear this sound?<br><br>A=YES, L=NO","76","_","resp_trial","1975.53","","wrong","","6","true","","","","","","","","","",""
"","html-keyboard-response","78","159441","0.0-78.0","","","null","<div style=""font-size:60px;""></div>","null","_","blank","","","","","","","","","","","","","","","",""
"","html-keyboard-response","79","161450","0.0-79.0","","","null","<div><span style=""font-size:2vw"">Every sound is uplifting.</div>","null","_","fixation","","","","uplifting","","","","","","","","","","","",""
"","jo-play-tone","80","162706","0.0-80.0","","","","","","_","key_trial","466.16","250","right","","","","","","","","","","","","",""
"","jo-play-tone","81","163973","0.0-81.0","","","","","","_","key_trial","698.46","250","right","","","","","","","","","","","","",""
"","jo-play-tone","82","165234","0.0-82.0","","","","","","_","key_trial","1046.5","250","right","","","","","","","","","","","","",""
"","html-keyboard-response","83","166698","0.0-83.0","","","1461.9000000953674","<span style='font-size:2vw'>Every sound was uplifting.<br><br>Do you agree?<br><br>A=YES, L=NO","65","_","resp_trial","","","","uplifting","7","","","","","","","","","","",""
"","html-keyboard-response","84","167206","0.0-84.0","","","null","<div style=""font-size:60px;""></div>","null","_","blank","","","","","","","","","","","","","","","",""
"","html-keyboard-response","85","170210","0.0-85.0","","","null","<div><span style=""font-size:2vw"">Memory test:<br>Did you just hear this sound?<p>Get ready...</div>","null","_","fixation","","","","","","","","","","","","","","","",""
"","jo-play-tone","86","171474","0.0-86.0","","","","","","_","key_trial","1046.5","250","right","","","","","","","","","","","","",""
"","html-keyboard-response","87","171800","0.0-87.0","","","324.7000000476837","<span style='font-size:2vw'>Did you just hear this sound?<br><br>A=YES, L=NO","65","_","resp_trial","1046.5","","right","","7","true","","","","","","","","","",""
"","html-keyboard-response","88","172306","0.0-88.0","","","null","<div style=""font-size:60px;""></div>","null","_","blank","","","","","","","","","","","","","","","",""
"","html-keyboard-response","89","174314","0.0-89.0","","","null","<div><span style=""font-size:2vw"">Every sound is creepy.</div>","null","_","fixation","","","","creepy","","","","","","","","","","","",""
"","jo-play-tone","90","175570","0.0-90.0","","","","","","_","key_trial","1975.53","250","right","","","","","","","","","","","","",""
"","jo-play-tone","91","176834","0.0-91.0","","","","","","_","key_trial","4434.92","250","right","","","","","","","","","","","","",""
"","jo-play-tone","92","178090","0.0-92.0","","","","","","_","key_trial","2959.96","250","right","","","","","","","","","","","","",""
"","html-keyboard-response","93","178656","0.0-93.0","","","564.7000000476837","<span style='font-size:2vw'>Every sound was creepy.<br><br>Do you agree?<br><br>A=YES, L=NO","65","_","resp_trial","","","","creepy","8","","","","","","","","","","",""
"","html-keyboard-response","94","179165","0.0-94.0","","","null","<div style=""font-size:60px;""></div>","null","_","blank","","","","","","","","","","","","","","","",""
"","html-keyboard-response","95","182169","0.0-95.0","","","null","<div><span style=""font-size:2vw"">Memory test:<br>Did you just hear this sound?<p>Get ready...</div>","null","_","fixation","","","","","","","","","","","","","","","",""
"","jo-play-tone","96","183434","0.0-96.0","","","","","","_","key_trial","1975.53","250","right","","","","","","","","","","","","",""
"","html-keyboard-response","97","184001","0.0-97.0","","","565.7000000476837","<span style='font-size:2vw'>Did you just hear this sound?<br><br>A=YES, L=NO","65","_","resp_trial","1975.53","","right","","8","true","","","","","","","","","",""
"","html-keyboard-response","98","184514","0.0-98.0","","","null","<div style=""font-size:60px;""></div>","null","_","blank","","","","","","","","","","","","","","","",""
"","html-keyboard-response","99","186524","0.0-99.0","","","null","<div><span style=""font-size:2vw"">Every sound is uplifting.</div>","null","_","fixation","","","","uplifting","","","","","","","","","","","",""
"","jo-play-tone","100","187788","0.0-100.0","","","","","","_","key_trial","587.33","250","right","","","","","","","","","","","","",""
"","jo-play-tone","101","189052","0.0-101.0","","","","","","_","key_trial","880","250","right","","","","","","","","","","","","",""
"","jo-play-tone","102","190314","0.0-102.0","","","","","","_","key_trial","392","250","right","","","","","","","","","","","","",""
"","html-keyboard-response","103","192644","0.0-103.0","","","2328","<span style='font-size:2vw'>Every sound was uplifting.<br><br>Do you agree?<br><br>A=YES, L=NO","76","_","resp_trial","","","","uplifting","9","","","","","","","","","","",""
"","html-keyboard-response","104","193154","0.0-104.0","","","null","<div style=""font-size:60px;""></div>","null","_","blank","","","","","","","","","","","","","","","",""
"","html-keyboard-response","105","196162","0.0-105.0","","","null","<div><span style=""font-size:2vw"">Memory test:<br>Did you just hear this sound?<p>Get ready...</div>","null","_","fixation","","","","","","","","","","","","","","","",""
"","jo-play-tone","106","197426","0.0-106.0","","","","","","_","key_trial","880","250","right","","","","","","","","","","","","",""
